type, error
1, 0.00132565
1, 0.000660341
1, 0.000661739
1, 0.00156643
1, 0.00130209
1, 0.000324433
1, 0.000843311
1, 3.96353e-05
1, 0.000533076
1, 0.00103173
1, 0.000277049
1, 0.000556982
1, 0.000354284
1, 0.00157757
1, 0.000577809
1, 0.000825671
1, 0.0013834
1, 0.000438918
1, 0.000158386
1, 0.000603208
1, 0.00116068
1, 0.00224773
1, 0.000578975
1, 0.000909313
1, 0.000577802
1, 0.000967346
1, 0.000152503
1, 0.00042237
1, 0.00188669
1, 0.00125555
2, 0.000326997
2, 0.00105383
2, 0.000818276
2, 6.76776e-05
2, 0.000234262
2, 0.000508885
2, 0.000221048
2, 0.000601735
2, 0.000174718
2, 0.000577549
2, 0.000673295
2, 0.000729509
2, 0.000220815
2, 0.000742023
2, 0.000918076
2, 0.000182457
2, 2.54888e-05
2, 0.000749002
2, 0.000189818
2, 0.00155219
2, 0.000498137
2, 0.000225103
2, 0.000284707
2, 0.000271294
2, 7.24885e-05
2, 0.000114567
2, 0.000672715
2, 0.000207528
2, 0.000750309
2, 0.000360303
3, 0.000478252
3, 0.326633
3, 0.00105535
3, 0.00101564
3, 0.000332273
3, 0.000119197
3, 0.328667
3, 0.3204
3, 0.000448689
3, 0.00066674
3, 0.000682487
3, 0.000624967
3, 0.00103475
3, 0.000617318
3, 0.3298
3, 0.3231
3, 0.000791731
3, 0.330033
3, 6.03036e-05
3, 0.00149544
3, 0.00022645
3, 0.000334873
3, 0.335733
3, 0.331267
3, 0.000808253
3, 3.26788e-05
3, 0.00112403
3, 0.332933
3, 0.333233
3, 5.04101e-07
