type, error
1, 0.000345343
1, 0.00138994
1, 0.000296433
1, 8.93726e-05
1, 0.000259712
1, 0.000779675
1, 0.00104397
1, 0.000166403
1, 0.000808372
1, 1.14284e-05
1, 0.00141321
1, 0.00223253
1, 0.000636219
1, 0.000290848
1, 0.000706151
1, 0.000382736
1, 0.000202055
1, 0.00022438
1, 0.000969344
1, 0.00109032
1, 0.00141524
1, 0.00148493
1, 0.000496484
1, 0.000307703
1, 0.000478714
1, 0.000369374
1, 6.65857e-05
1, 6.71964e-05
1, 0.000914664
1, 0.001497
2, 0.000195707
2, 0.000414675
2, 0.000172054
2, 8.74537e-05
2, 0.000190262
2, 0.000158837
2, 0.00121582
2, 0.000118631
2, 0.000282961
2, 0.000264778
2, 0.000461442
2, 8.51933e-05
2, 0.000187889
2, 5.65998e-05
2, 0.000118169
2, 0.000268813
2, 0.000214744
2, 0.00029656
2, 0.000331531
2, 0.000179417
2, 0.000493078
2, 1.95505e-05
2, 2.10289e-06
2, 0.000929045
2, 0.000492761
2, 1.31582e-05
2, 0.000372803
2, 8.35862e-05
2, 0.000198631
2, 0.000473359
3, 0.000249946
3, 0.000390818
3, 0.000199381
3, 0.000642497
3, 0.000383352
3, 0.000694766
3, 0.000112506
3, 0.000113096
3, 0.325367
3, 0.00113858
3, 0.000309103
3, 0.000691004
3, 0.000141622
3, 0.331867
3, 0.000292662
3, 0.3351
3, 0.000541959
3, 0.3305
3, 7.74147e-06
3, 0.000119127
3, 0.000174337
3, 0.000776262
3, 0.000927443
3, 0.329433
3, 0.3273
3, 0.000355771
3, 0.000741695
3, 0.000872647
3, 0.331667
3, 0.000512331
